,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
83,2021-12-01 09:01:47.037,92,8893,충북,忠北,Chungcheongbuk-do,48,8435,48,0,556,13606,2021년 12월 01일 00시,null
84,2021-12-01 09:01:47.037,74,8745,강원,江原,Gangwon-do,105,7883,105,0,567,13605,2021년 12월 01일 00시,null
85,2021-12-01 09:01:47.036,1202,135053,경기,京畿,Gyeonggi-do,1582,118742,1576,6,1006,13604,2021년 12월 01일 00시,null
86,2021-12-01 09:01:47.036,2,1580,세종,世宗,Sejong,20,1440,19,1,444,13603,2021년 12월 01일 00시,null
87,2021-12-01 09:01:47.036,57,5657,울산,蔚山,Ulsan,17,5512,15,2,498,13602,2021년 12월 01일 00시,null
88,2021-12-01 09:01:47.036,68,8643,대전,大田,Daejeon,88,8002,86,2,590,13601,2021년 12월 01일 00시,null
89,2021-12-01 09:01:47.035,30,6314,광주,光州,Gwangju,29,5844,29,0,435,13600,2021년 12월 01일 00시,null
90,2021-12-01 09:01:47.037,151,24944,인천,仁川,Incheon,326,21895,322,4,848,13599,2021년 12월 01일 00시,null
91,2021-12-01 09:01:47.035,315,19044,대구,大邱,Daegu,86,17905,86,0,787,13598,2021년 12월 01일 00시,null
92,2021-12-01 09:01:47.035,183,16397,부산,釜山,Busan,143,14925,142,1,483,13597,2021년 12월 01일 00시,null
93,2021-12-01 09:01:47.035,1113,156507,서울,首尔,Seoul,2222,131867,2212,10,1619,13596,2021년 12월 01일 00시,null
94,2021-12-01 09:01:47.034,3659,452350,합계,合计,Total,5123,398323,5075,48,873,13595,2021년 12월 01일 00시,null
95,2021-11-30 09:02:53.631,16,6449,검역,隔離區,Lazaretto,8,6284,0,8,-,13594,2021년 11월 30일 00시,null
96,2021-11-30 09:02:53.63,9,3704,제주,济州,Jeju,22,3416,21,1,549,13593,2021년 11월 30일 00시,null
97,2021-11-30 09:02:53.63,56,15015,경남,庆南,Gyeongsangnam-do,60,14087,60,0,450,13592,2021년 11월 30일 00시,null
98,2021-11-30 09:02:53.63,109,11268,경북,庆北,Gyeongsangbuk-do,68,10359,68,0,427,13591,2021년 11월 30일 00시,null
99,2021-11-30 09:02:53.63,26,4419,전남,全南,Jeollanam-do,36,3991,35,1,239,13590,2021년 11월 30일 00시,null
100,2021-11-30 09:02:53.63,75,6332,전북,全北,Jeollabuk-do,50,5804,50,0,351,13589,2021년 11월 30일 00시,null
101,2021-11-30 09:02:53.629,77,12930,충남,忠南,Chungcheongnam-do,81,11689,81,0,610,13588,2021년 11월 30일 00시,null
102,2021-11-30 09:02:53.629,92,8845,충북,忠北,Chungcheongbuk-do,59,8416,59,0,553,13587,2021년 11월 30일 00시,null
103,2021-11-30 09:02:53.629,73,8640,강원,江原,Gangwon-do,84,7805,84,0,560,13586,2021년 11월 30일 00시,null
104,2021-11-30 09:02:53.629,1192,133472,경기,京畿,Gyeonggi-do,909,118526,907,2,994,13585,2021년 11월 30일 00시,null
105,2021-11-30 09:02:53.628,2,1560,세종,世宗,Sejong,22,1434,22,0,438,13584,2021년 11월 30일 00시,null
106,2021-11-30 09:02:53.628,57,5640,울산,蔚山,Ulsan,3,5510,3,0,496,13583,2021년 11월 30일 00시,null
107,2021-11-30 09:02:53.628,64,8555,대전,大田,Daejeon,43,7958,41,2,584,13582,2021년 11월 30일 00시,null
108,2021-11-30 09:02:53.628,30,6285,광주,光州,Gwangju,52,5790,51,1,433,13581,2021년 11월 30일 00시,null
109,2021-11-30 09:02:53.628,148,24618,인천,仁川,Incheon,192,21742,191,1,837,13580,2021년 11월 30일 00시,null
110,2021-11-30 09:02:53.627,315,18958,대구,大邱,Daegu,78,17860,77,1,784,13579,2021년 11월 30일 00시,null
111,2021-11-30 09:02:53.627,183,16254,부산,釜山,Busan,79,14831,77,2,479,13578,2021년 11월 30일 00시,null
112,2021-11-30 09:02:53.627,1100,154286,서울,首尔,Seoul,1186,130568,1176,10,1596,13577,2021년 11월 30일 00시,null
113,2021-11-30 09:02:53.627,3624,447230,합계,合计,Total,3032,396070,3003,29,863,13576,2021년 11월 30일 00시,null
114,2021-11-29 09:08:11.258,16,6441,검역,隔離區,Lazaretto,3,6281,0,3,-,13575,2021년 11월 29일 00시,null
115,2021-11-29 09:08:11.258,9,3682,제주,济州,Jeju,44,3390,43,1,546,13574,2021년 11월 29일 00시,null
116,2021-11-29 09:08:11.258,56,14955,경남,庆南,Gyeongsangnam-do,86,13997,85,1,448,13573,2021년 11월 29일 00시,null
117,2021-11-29 09:08:11.258,108,11200,경북,庆北,Gyeongsangbuk-do,68,10310,67,1,424,13572,2021년 11월 29일 00시,null
