,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
148,2021-11-15 09:43:21.872,290,17926,대구,大邱,Daegu,49,17063,573,48,1,741,13294,2021년 11월 15일 00시,null
149,2021-11-15 09:43:21.871,171,14788,부산,釜山,Busan,68,13919,698,67,1,436,13293,2021년 11월 15일 00시,null
150,2021-11-15 09:43:21.871,879,132668,서울,首尔,Seoul,859,117788,14001,856,3,1372,13292,2021년 11월 15일 00시,null
151,2021-11-15 09:43:21.871,3115,397466,합계,合计,Total,2006,362834,31517,1986,20,767,13291,2021년 11월 15일 00시,null
152,2021-11-14 09:40:13.21,16,6358,검역,隔離區,Lazaretto,3,6219,123,0,3,-,13290,2021년 11월 14일 00시,null
153,2021-11-14 09:40:13.21,7,3274,제주,济州,Jeju,14,3125,142,14,0,485,13289,2021년 11월 14일 00시,null
154,2021-11-14 09:40:13.21,45,13814,경남,庆南,Gyeongsangnam-do,44,13052,717,44,0,414,13288,2021년 11월 14일 00시,null
155,2021-11-14 09:40:13.209,98,10335,경북,庆北,Gyeongsangbuk-do,42,9682,555,41,1,392,13287,2021년 11월 14일 00시,null
156,2021-11-14 09:40:13.209,24,3841,전남,全南,Jeollanam-do,26,3588,229,26,0,207,13286,2021년 11월 14일 00시,null
157,2021-11-14 09:40:13.209,69,5654,전북,全北,Jeollabuk-do,44,5226,359,44,0,313,13285,2021년 11월 14일 00시,null
158,2021-11-14 09:40:13.209,68,11556,충남,忠南,Chungcheongnam-do,54,10646,842,53,1,545,13284,2021년 11월 14일 00시,null
159,2021-11-14 09:40:13.209,87,8365,충북,忠北,Chungcheongbuk-do,27,7937,341,27,0,523,13283,2021년 11월 14일 00시,null
160,2021-11-14 09:40:13.208,68,7610,강원,江原,Gangwon-do,31,7230,312,31,0,493,13282,2021년 11월 14일 00시,null
161,2021-11-14 09:40:13.208,1023,118434,경기,京畿,Gyeonggi-do,800,107188,10223,797,3,882,13281,2021년 11월 14일 00시,null
162,2021-11-14 09:40:13.208,2,1402,세종,世宗,Sejong,2,1373,27,2,0,394,13280,2021년 11월 14일 00시,null
163,2021-11-14 09:40:13.208,57,5515,울산,蔚山,Ulsan,7,5399,59,7,0,485,13279,2021년 11월 14일 00시,null
164,2021-11-14 09:40:13.207,56,7852,대전,大田,Daejeon,18,7549,247,18,0,536,13278,2021년 11월 14일 00시,null
165,2021-11-14 09:40:13.207,29,5623,광주,光州,Gwangju,19,5398,196,19,0,388,13277,2021년 11월 14일 00시,null
166,2021-11-14 09:40:13.207,118,21421,인천,仁川,Incheon,156,19305,1998,155,1,728,13276,2021년 11월 14일 00시,null
167,2021-11-14 09:40:13.207,289,17877,대구,大邱,Daegu,72,17033,555,72,0,739,13275,2021년 11월 14일 00시,null
168,2021-11-14 09:40:13.207,171,14720,부산,釜山,Busan,82,13866,683,82,0,434,13274,2021년 11월 14일 00시,null
169,2021-11-14 09:40:13.206,876,131809,서울,首尔,Seoul,978,117075,13858,969,9,1363,13273,2021년 11월 14일 00시,null
170,2021-11-14 09:40:13.206,3103,395460,합계,合计,Total,2419,360891,31466,2401,18,763,13272,2021년 11월 14일 00시,null
171,2021-11-13 09:34:07.842,16,6355,검역,隔離區,Lazaretto,4,6207,132,0,4,-,13271,2021년 11월 13일 00시,null
